Cien años soledad, Gabriel García Márquez, 469
El señor los anillos (Trilogía), J. R. R. Tolkien, 389
1984, George Orwell, 382 
Un mundo feliz, Aldous Huxley, 374 
Orgullo y prejuicio, Jane Austen, 341 
Crimen y castigo, Fiódor Dostoyevski, 324 
Lolita, Vladimir Nabokov, 318 
Ulises, James Joyce, 311 
Madame Bovary, Gustave Flaubert, 310 
En buscal tiempo perdido, Marcel Proust, 304 
Don Quijote la Mancha, Miguel Cervantes, 279 
El retrato Dorian Gray, Oscar Wilde, 277 
Ana Karenina, León Tolstói, 261 
El Principito, Antoine Saint-Exupéry, 253 
El proceso, Franz Kafka, 247 
El ruido y la furia, William Faulkner, 246 
Hamlet, William Shakespeare, 246 
Lo que el viento se llevó, Margaret Mitchell, 238
La Odisea, Homero, 232 
Las uvas la ira, John Steinbeck, 232 
El guardián entre el centeno, J. D. Salinger, 228 
Cumbres borrascosas, Emily Brontë, 219 
El gran Gatsby, F. Scott Fitzgerald, 213 
Mil soles espléndidos, Khaled Hosseini, 211 
Alicia en el país las maravillas, Lewis Carroll, 211 
Rebelión en la granja, George Orwell, 209 
Los pilares la tierra, Ken Follett, 206 
Guerra y paz, León Tolstói, 197 
Memorias una geisha, Arthur Golden, 195 
Frankenstein, Mary W. Shelley, 191 
Los viajes Gulliver, Jonathan Swift, 186 
La ladrona libros, Markus Zusak, 183 
Matar a un ruiseñor, Harper Lee, 183 
El conde Montecristo, Alejandro Dumas, 183
Los juegosl hambre, Suzanne Collins, 181
Harry Potter y la piedra filosofal (Harry Potter 1 ), J. K. Rowling, 179
El señor las moscas, William Golding, 177
Moby Dick, Herman Melville, 174 
Los miserables, Victor Hugo, 172 
Las aventuras Huckleberry Finn, Mark Twain, 170 
Tristam Shandy, Laurence Sterne, 168 
Drácula, Bram Stoker, 166 
El nombre la rosa, Umberto Eco, 166 
El extranjero, Albert Camus, 165 
Los hermanos Karamázov, Fiódor Dostoyevski, 164 
El amor en los tiemposl cólera, Gabriel García Márquez, 163 
Harry Potter y las reliquias la muerte (Harry Potter 7 ), J. K. Rowling, 163 
El código Da Vinci, Dan Brown, 162 
Harry Potter y el prisionero Azkaban (Harry Potter 3 ), J. K. Rowling, 162 
Cometas en el cielo, Khaled Hosseini, 161 
Ensayo sobre la ceguera, José Saramago, 159 
Las crónicas Narnia, C. S. Lewis, 152 
Los renglones torcidos Dios, Torcuato Luca Tena, 152 
En llamas, Suzanne Collins, 151 
Harry Potter y el cáliz fuego (Harry Potter 4 ), J. K. Rowling, 151 
La sombral viento, Carlos Ruiz Zafón, 151 
Viaje al fin la noche, Louis Ferdinand Céline, 151 
Harry Potter y el misteriol príncipe ( Harry Potter 6 ), J. K. Rowling, 150 
El juego Ender, Orson Scott Card, 149 
La Biblia, Dios, 147 
La montaña mágica, Thomas Mann, 147 
Harry Potter y la Ordenl Fénix ( Harry Potter 5 ), J. K. Rowling, 144 
El psicoanalista, John Katzenbach, 141 
Trampa 22, Joseph Heller, 141 
Por quién doblan las campanas, Hernest Hemingway, 135 
Dr. Jekyll y Mr. Hyde, Robert Louis Stevenson, 135 
El médico, Noah Gordon, 134 
La metamorfosis, Franz Kafka, 134 
La telaraña Carlota, E.B. White, 134 
La divina comedia, Dante Alighieri, 132 
La señora Dalloway, Virginia Woolf, 132 
Crepúsculo, Stephenie Meyer, 129 
En el camino, Jack Kerouac, 129 
La Iliada, Homero, 127 
Jane Eyre, Charlotte Brontë, 126 
Diario, Ana Frank, 125 
El retornol Rey, J.R.R. Tolkien, 125 
El perfume, Patrick Süskind, 124 
Fahrenheit 451, Ray Bradbury, 124 
Crónica una muerte anunciada, Gabriel García Márquez, 122 
La casa los espíritus, Isabel Allende, 121 
Mientras agonizo, William Faulkner, 121 
La islal tesoro, Robert Louis Stevenson, 119 
Todo sesmorona, Chinua Achebe, 117 
Emma, Jane Austen, 117 
Pasaje a la India, E. M. Forster, 117 
Ficciones, Jorge Luis Borges, 113 
Harry Potter y la cámara secreta (Harry Potter 2 ), J. K. Rowling, 113 
A sangre fría, Truman Capote, 111 
Rimas y leyendas, Gustavo Adolfo Bécquer, 109 
El corazón es un cazador solitario, Carson Mccullers, 104 
El Rey Lear, William Shakespeare, 104 
Tormenta espadas, George R.R. Martin, 100 
Juego tronos, George R.R.Martin, 99 
La catedrall mar, Ildefonso Falcones, 99 
Progresol peregrino, John Bunyan, 99 
El corazón las tinieblas, Joseph Conrad, 98 
Robinson Crusoe, Danielfoe, 98 
La isla los amores infinitos, Daína Chaviano, 97 
David Copperfield, Charles Dickens, 97 